fileName,startTime,finishTime,inputDuration,inputSizeKB,outputDuration,outputSizeKB,sizeDifference,inputMovedTo
A New Hope Teaser-trailer.mkv,2023/09/14 11:38 -05:00,2023/09/14 11:39 -05:00,124.13 sec,0.01 KB,124.13 sec,0.01 KB,100%,
A New Hope Teaser-trailer.mkv,,,,,,,,Moved  to J:\Utilities\Transcode\singles\done - J:\Utilities\Transcode\singles\out\A New Hope Teaser-trailer.mkv
A.New.Hope.Teaser[trailer].mkv,2023/09/14 11:47 -05:00,2023/09/14 11:47 -05:00,124.13 sec,0 KB,124.13 sec,0 KB,%,
A.New.Hope.Teaser[trailer].mkv,,,,,,,,Moved  to J:\Utilities\Transcode\singles\done - J:\Utilities\Transcode\singles\out\A.New.Hope.Teaser[trailer].mkv
A.New.Hope.Teaser[trailer].mkv,2023/09/14 11:51 -05:00,2023/09/14 11:51 -05:00,124.13 sec,19075.86 KB,124.13 sec,15219.28 KB,79.78%,
A.New.Hope.Teaser[trailer].mkv,,,,,,,,Moved  to J:\Utilities\Transcode\singles\done - J:\Utilities\Transcode\singles\out\A.New.Hope.Teaser[trailer].mkv
Star.Trek.Lower.Decks.S04E03.1080p.WEB.h264-EDITH[eztv.re].mkv,2023/09/14 11:55,2023/09/14 12:22,1469.42 sec,1675704.52 KB,1469.42 sec,486740.14 KB,29.05%,
Star.Trek.Lower.Decks.S04E03.1080p.WEB.h264-EDITH[eztv.re].mkv,,,,,,,,Output file is smaller than original, sent original to Recycle Bin - J:\Utilities\Transcode\singles\out\Star.Trek.Lower.Decks.S04E03.1080p.WEB.h264-EDITH[eztv.re].mkv
Out There Halloween Mega Tape (2022).mkv,2023/09/21 20:30,2023/09/21 21:24,5500.46 sec,3010353.41 KB,5500.46 sec,1665934.63 KB,55.34%,
Out There Halloween Mega Tape (2022).mkv,,,,,,,,Output file is smaller than original, sent original to Recycle Bin - J:\Utilities\Transcode\singles\out\Out There Halloween Mega Tape (2022).mkv
